cin,cout,title,deweyClass
"2010-03-10 11:44:00","2009-10-07 17:35:00","IT essentials II Network operating system companion guide",004.6
"2010-03-27 13:21:00","2010-02-17 10:20:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2010-04-01 13:44:00","2010-02-06 14:50:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2010-04-01 22:52:00","2010-01-19 19:19:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2010-04-05 12:49:00","2010-02-06 14:50:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2010-04-05 17:52:00","2010-02-17 10:20:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2010-04-11 18:14:00","2010-03-17 19:11:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2010-04-13 11:06:00","2010-03-17 19:11:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2010-04-19 13:41:00","2010-02-06 14:50:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2010-05-13 17:04:00","2010-04-15 15:20:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2010-05-15 15:01:00","2010-04-15 15:20:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2010-05-17 12:00:00","2010-05-17 11:27:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2010-06-01 13:32:00","2010-05-17 11:27:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2010-06-02 16:33:00","2010-06-01 16:17:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2010-06-03 11:10:00","2010-04-20 14:50:00","IT essentials II Network operating system companion guide",004.6
"2010-06-03 17:05:00","2010-04-10 16:15:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2010-06-03 21:28:00","2010-04-05 11:34:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2010-06-04 10:13:00","2010-04-05 11:34:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2010-06-06 13:29:00","2010-04-20 14:50:00","IT essentials II Network operating system companion guide",004.6
"2010-06-07 13:23:00","2010-04-20 14:50:00","IT essentials II Network operating system companion guide",004.6
"2010-06-26 11:28:00","2010-04-24 15:37:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2010-06-26 16:57:00","2010-04-10 16:15:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2010-06-27 15:22:00","2010-04-10 16:15:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2010-06-30 18:06:00","2010-06-28 16:37:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2010-07-16 12:18:00","2010-06-28 16:37:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2010-07-17 11:42:00","2010-06-28 16:37:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
