title,Dewey,Counts,Average,Standard Dev,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Its all good delicious easy recipes that will make you look good and feel great,0.5973,894,74.5,110.9762464,0,0,0,0,0,0,0,318,254,124,126,72
Vegan cupcakes take over the world 75 dairy free recipes for cupcakes that rule,0.5636,893,73.25,80.30976959,0,168,208,199,132,70,22,25,19,12,15,9
best of Americas test kitchen,0.5,893,73.5,50.68530359,11,123,92,140,145,117,88,63,46,28,18,11
United States of arugula how we became a gourmet nation,0.01309,888,71,135.0346757,95,480,120,70,42,21,9,5,4,4,1,1
South Beach diet cookbook,0.5635,888,73.16666667,59.44414236,163,135,121,110,132,107,37,28,15,12,12,6
Cooking light slow cooker,0.5884,871,71.91666667,85.5117837,0,0,55,262,224,108,47,54,45,36,20,12
Anthony Bourdain no reservations Collection 5 part 1,0.013,868,71.08333333,83.48049128,0,0,0,0,113,281,131,116,99,61,32,20
My fathers daughter delicious easy recipes celebrating family togetherness,0.5973,865,69.33333333,99.50544374,0,0,0,0,0,334,143,144,93,51,47,20
Charcuterie the craft of salting smoking and curing,0.61,855,70.25,53.19624901,94,91,99,163,142,104,45,45,34,26,0,0
Peter Reinharts whole grain breads new techniques extraordinary flavor,0.815,847,70.25,82.04558046,0,57,203,207,188,93,28,28,10,13,7,9
Arabesque a taste of Morocco Turkey and Lebanon,0.59292,840,69.33333333,61.38304968,7,205,116,119,130,83,45,35,36,25,16,15
Climbing the mango trees a memoir of a childhood in India,0.5092,838,68.66666667,84.54727922,28,301,133,116,63,77,36,33,15,5,7,10
everlasting meal cooking with economy and grace,0.5,835,69.58333333,97.10299905,0,0,0,0,0,15,317,183,107,97,62,54
Madhur Jaffreys quick easy Indian cooking,0.55509,835,68.66666667,78.07494457,0,0,222,201,139,100,34,37,26,19,25,21
How to cook your life,0.5,833,68.58333333,85.94338341,0,0,259,208,127,80,41,43,25,18,18,4
Vegetable literacy cooking and gardening with twelve families from the edible plant kingdom with over 300 deliciously simple recipes,0.65,832,69.33333333,108.0288962,0,0,0,0,0,0,0,296,269,126,82,59
Anis raw food kitchen easy delectable living foods recipes,0.563,830,68.25,76.96058613,0,46,192,203,165,97,55,29,14,12,2,4
Ottolenghi the cookbook,0.5942,829,69.08333333,99.25033394,0,0,0,0,0,0,0,59,276,211,168,115
bread bible,0.815,827,68.5,50.48762225,59,78,132,165,141,69,30,18,38,31,31,30
conscious cook delicious meatless recipes that will change the way you eat,0.5636,820,66.91666667,112.2193131,0,0,0,99,400,112,68,64,23,24,8,5
Trail of crumbs hunger love and the search for home a memoir,0.5092,819,65.41666667,134.8443266,0,0,466,166,67,39,21,9,10,2,4,1
Giadas family dinners,0.5945,819,67,57.06933582,154,134,117,125,110,61,40,27,21,9,6,0
Julia Childs kitchen wisdom,0.5092,818,67.75,53.93114297,55,84,65,182,150,98,61,39,39,25,12,3
All about braising the art of uncomplicated cooking,0.77,813,66.58333333,33.29607767,54,53,97,109,117,92,90,54,53,40,21,19
Gluten free girl and the chef a love story with 100 tempting recipes,0.5638,810,66,92.29202664,0,0,0,0,102,325,105,94,86,44,25,11
sneaky chef simple strategies for hiding healthy foods in kids favorite meals,0.5622,807,64.5,90.92804348,0,93,317,119,116,53,25,18,15,8,8,2
Well preserved recipes and techniques for putting up small batches of seasonal foods,0.4,803,65.5,102.5373546,0,0,0,276,270,118,49,35,17,14,3,4
boat a whale a walrus menus and stories,0.59795,800,66.66666667,132.522611,0,0,0,0,0,0,0,0,151,448,138,63
VB6 eat vegan before 600 to lose weight and restore your health for good the flexible diet you can really stick to with more than 60 easy delicious recipes,0.5636,798,66.5,106.5205913,0,0,0,0,0,0,0,269,290,117,73,49
complete book of raw food healthy delicious vegetarian cuisine made with living foods includes over 375 recipes from the worlds top raw food chefs,0.5636,798,64,76.67878692,0,0,85,233,167,137,49,48,27,13,7,2
Julie and Julia my year of cooking dangerously,0.5092,791,62.41666667,116.5507758,0,0,0,280,333,73,36,12,9,6,0,0
Slow cooker the best cookbook ever with more than 400 easy to make recipes,0.5884,780,64.5,87.5364859,0,0,0,16,281,192,79,80,60,39,15,12
best recipes in the world more than 1000 international dishes to cook at home,0.59,779,63.08333333,61.72881798,140,131,138,152,79,60,25,8,10,11,3,0
Alice Waters Chez Panisse the romantic impractical often eccentric ultimately brilliant making of a food revolution,0.5092,778,63.25,101.5132101,0,334,187,99,50,46,15,7,8,8,4,1
Local flavors cooking and eating from Americas farmers markets,0.5973,774,64,79.87034949,71,144,202,203,102,29,17,0,0,0,0,0
Comfort me with apples more adventures at the table,0.5092,774,63.5,58.29626528,153,94,132,159,79,48,32,23,21,16,5,0
pleasures of cooking for one,0.561,773,63.33333333,112.1470896,0,0,0,75,404,111,40,38,30,26,13,23
Americas test kitchen Season one,0.5,770,63,82.21037316,0,0,0,13,282,138,90,88,75,29,27,14
Julia and Jacques cooking at home,0.5944,765,62.66666667,61.32526297,86,58,99,168,179,78,30,14,12,14,12,2
Anthony Bourdains Les Halles cookbook strategies recipes and techniques of classic bistro cooking,0.5944,761,63.08333333,60.5586993,123,117,121,136,145,66,17,19,10,3,0,0
cooks tour in search of the perfect meal,0.013,761,62.5,68.36599367,182,137,142,109,103,59,16,2,0,0,0,0
Americas test kitchen the complete 5th season home of Cooks illustrated magazine,0.5,759,62.66666667,82.93736227,95,179,224,165,59,29,1,0,0,0,0,0
Mastering the art of French cooking Volume two,0.5944,757,62.25,66.90987833,54,72,55,149,235,62,46,23,9,11,19,12
Raw food real world 100 recipes to get the glow,0.5636,753,62.16666667,54.09895535,103,122,155,129,85,54,30,28,21,10,6,3
Cook with Jamie my guide to making you a better cook,0.5,753,62.25,85.10221127,0,29,279,130,146,90,22,15,19,7,5,5
South Beach diet quick and easy cookbook 200 delicious recipes ready in 30 minutes or less,0.5635,751,61.41666667,58.60105232,181,103,140,96,76,63,17,16,17,12,7,9
Sharks fin and Sichuan pepper a sweet sour memoir of eating in China,0.5951,748,61.5,79.4818447,0,0,253,186,99,42,31,41,34,19,18,15
Herbfarm cookbook,0.657,746,61.25,41.85065439,73,76,95,129,124,87,42,36,27,22,14,10
Barefoot Contessa foolproof recipes you can trust,0.3,745,62.08333333,88.98054776,0,0,0,0,0,0,48,288,158,118,80,53
Chez Panisse vegetables,0.65,744,61.75,41.87237102,56,84,128,117,90,111,28,40,24,25,24,14
best slow easy recipes a best recipe classic,0.5884,744,60.91666667,81.81293333,0,0,34,285,152,80,42,46,34,28,16,14
tenth muse my life in food,0.59,743,61.08333333,85.83330391,0,58,272,171,125,51,28,6,10,8,4,0
Harvest for hope a guide to mindful eating,0.3002,738,60.83333333,79.38723659,272,89,98,119,78,40,16,10,4,2,2,0
Indian slow cooker 50 healthy easy authentic recipes,0.5884,733,60.33333333,67.10417049,0,0,0,0,17,160,170,150,98,64,40,25
Plum gratifying vegan dishes from Seattles Plum Bistro,0.5636,733,61.08333333,80.81680556,0,0,0,0,0,0,0,202,189,130,125,87
Baking illustrated a best recipe classic,0.815,732,60.33333333,50.96225579,85,116,138,124,103,70,23,27,13,8,10,7
Northwest vegetarian cookbook 200 recipes that celebrate the flavors of Oregon and Washington,0.5636,730,59.5,88.29444541,0,0,0,0,295,165,77,67,44,28,27,11
pioneer woman cooks recipes from an accidental country girl,0.59766,729,59.75,78.75061327,0,0,0,28,244,194,68,54,59,40,19,11
Tom Douglas Seattle kitchen,0.59795,729,60.08333333,34.04130735,116,75,73,99,107,53,52,40,42,28,25,11
Salad people and more real recipes a new cookbook for preschoolers up,0.5636,721,59.5,35.77327596,137,88,101,50,81,40,52,48,50,32,22,13
Americas test kitchen Season five,0.5,721,59,62.43978918,0,0,0,25,189,145,96,85,86,55,19,8
ultrametabolism cookbook 200 delicious recipes that will turn on your fat burning DNA,0.563,718,59.58333333,69.57462747,0,23,147,209,154,47,49,29,19,15,14,9
