Elements,Times,Dates,Deweys,Titles
"Klondike River Valley Yukon Gold discoveries Juvenile literature",16:47:00,2006-01-27,338,"gold rush"
"Klondike River Valley Yukon Gold discoveries",16:47:00,2006-01-27,338,"gold rush"
"California Gold discoveries Juvenile literature",16:47:00,2006-01-27,338,"gold rush"
"California Gold discoveries",16:47:00,2006-01-27,338,"gold rush"
"North America Gold discoveries Juvenile literature",16:47:00,2006-01-27,338,"gold rush"
"Electric water heaters Maintenance and repair",11:56:00,2006-01-28,644,"Water heater repair and replacement"
"Klondike Gold Rush National Historical Park Alaska and Wash",12:28:00,2006-01-28,917,"great parks of Alaska"
"California Gold discoveries Juvenile literature",14:41:00,2006-01-28,979,"California Gold Rush"
"California Gold discoveries",14:41:00,2006-01-28,979,"California Gold Rush"
"Klondike Gold Rush National Historical Park Alaska and Wash",15:16:00,2006-01-28,917,"great parks of Alaska"
"Friendly fire Military science English Channel",17:48:00,2006-01-28,363,"Glenn Millers last flight"
"Municipal water supply United States History",17:10:00,2006-01-30,363,"sanitary city urban infrastructure in America from colonial times to the present"
"California Gold discoveries Juvenile literature",18:59:00,2006-01-30,979,"California gold rush"
"California Gold discoveries History",18:59:00,2006-01-30,979,"Gold rush and gunfights"
"Drinking water Juvenile literature",19:31:00,2006-01-30,363,"cool drink of water"
"Hot water heating",13:38:00,2006-01-31,697,"Modern hydronic heating for residential and light commercial buildings"
"Forest fire fighters",15:52:00,2006-01-31,634,Hotshots
"Forest fire fighters Juvenile literature",15:52:00,2006-01-31,634,Hotshots
"San Francisco Earthquake and Fire Calif 1906",17:45:00,2006-01-31,979,"crack in the edge of the world America and the great California earthquake of 1906"
"Great Fire Seattle Wash 1889",19:08:00,2006-01-31,979,"day Seattle burned June 6 1989 i e 1889"
"California Gold discoveries Juvenile literature",09:30:00,2006-02-01,979,"Lost in Death Valley the true story of four families in Californias gold rush"
"California Gold discoveries",09:30:00,2006-02-01,979,"Lost in Death Valley the true story of four families in Californias gold rush"
"San Francisco Earthquake and Fire Calif 1906",13:00:00,2006-02-01,979,"crack in the edge of the world America and the great California earthquake of 1906"
"Niska wood carving British Columbia Juvenile literature",14:15:00,2006-02-01,730,"Carving a totem pole"
"Drinking water Contamination Massachusetts Woburn",14:42:00,2006-02-01,346,"civil action"
"Liability for water pollution damages Massachusetts Woburn",14:42:00,2006-02-01,346,"civil action"
"Drinking water Juvenile literature",16:27:00,2006-02-01,363,"cool drink of water"
"San Francisco Earthquake and Fire Calif 1906",18:03:00,2006-02-01,979,"crack in the edge of the world America and the great California earthquake of 1906"
"Emergency water supply",12:20:00,2006-02-02,363,"Emergency family preparedness"
"San Francisco Earthquake and Fire Calif 1906",15:40:00,2006-02-02,979,"crack in the edge of the world America and the great California earthquake of 1906"
"Great Fire London England 1666",16:43:00,2006-02-02,942,"Great Fire of London in that apocalyptic year 1666"
"San Francisco Earthquake and Fire Calif 1906",17:25:00,2006-02-02,979,"crack in the edge of the world America and the great California earthquake of 1906"
"California Gold discoveries Juvenile films",17:26:00,2006-02-02,398,"Darlin Clementine"
"San Francisco Earthquake and Fire Calif 1906",12:41:00,2006-02-03,979,"crack in the edge of the world America and the great California earthquake of 1906"
"New York N Y Fire Dept",14:30:00,2006-02-03,974,"7 days in September"
"Storm water retention basins Washington State Seattle",15:10:00,2006-02-03,628,"Meadowbrook Pond a step toward harmony"
"California Gold discoveries Fiction",15:27:00,2006-02-03,863,"Hija de la fortuna"
"Belleau Wood Battle of France 1918 Juvenile literature",16:59:00,2006-02-03,940,"Battle of Belleau Wood"
"Belleau Wood Battle of France 1918",16:59:00,2006-02-03,940,"Battle of Belleau Wood"
"Halifax Edward Frederick Lindley Wood Earl of 1881 1959",11:16:00,2006-02-04,940,"Five days in London May 1940"
"San Francisco Earthquake and Fire Calif 1906",12:24:00,2006-02-04,979,"crack in the edge of the world America and the great California earthquake of 1906"
"Friendly fire Military science English Channel",12:30:00,2006-02-04,363,"Glenn Millers last flight"
"San Francisco Earthquake and Fire Calif 1906",15:15:00,2006-02-04,979,"crack in the edge of the world America and the great California earthquake of 1906"
"New York N Y Fire Dept",15:24:00,2006-02-04,363,"Report from ground zero the story of the rescue efforts at the World Trade Center"
"New York N Y Fire Department",15:24:00,2006-02-04,363,"Report from ground zero the story of the rescue efforts at the World Trade Center"
"New York N Y Fire Dept",15:25:00,2006-02-04,363,"Strong of heart life and death in the fire department of New York"
"California Gold discoveries History",16:21:00,2006-02-04,979,"Gold rush and gunfights"
"Klondike Gold Rush National Historical Park Alaska and Wash",16:47:00,2006-02-04,917,"great parks of Alaska"
"California Gold discoveries Juvenile films",17:22:00,2006-02-04,398,"Darlin Clementine"
"Drinking water Contamination",17:46:00,2006-02-04,363,"Into deep water"
"Belleau Wood Battle of France 1918 Juvenile literature",14:54:00,2006-02-05,940,"Battle of Belleau Wood"
"Belleau Wood Battle of France 1918",14:54:00,2006-02-05,940,"Battle of Belleau Wood"
"San Francisco Earthquake and Fire Calif 1906",14:28:00,2006-02-06,979,"crack in the edge of the world America and the great California earthquake of 1906"
"San Francisco Earthquake and Fire Calif 1906",14:38:00,2006-02-06,979,"crack in the edge of the world America and the great California earthquake of 1906"
"Laminated wood Amateurs manuals",15:25:00,2006-02-06,623,"laminated wood boatbuilder a step by step guide for the backyard builder"
"California Gold discoveries Fiction",17:31:00,2006-02-06,863,"Hija de la fortuna"
"Electric water heaters Maintenance and repair",14:48:00,2006-02-07,644,"Water heater repair and replacement"
"Hartford Circus Fire Hartford Conn 1944",10:09:00,2006-02-08,974,"circus fire"
"Electric water heaters Maintenance and repair",10:57:00,2006-02-08,644,"Water heater repair and replacement"
